City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
130,perth,-31.9333,115.8333,15.58,84,0,2.57,AU,28800
131,mount gambier,-37.8333,140.7667,10.94,90,5,1.93,AU,37800
132,terekli-mekteb,44.1671,45.8698,5.83,60,60,2.91,RU,10800
133,east london,-33.0153,27.9116,19.52,82,0,4.63,ZA,7200
134,mahebourg,-20.4081,57.7,23.47,73,40,2.57,MU,14400
135,cabedelo,-6.9811,-34.8339,29.37,68,73,5.53,BR,-10800
136,sioux lookout,50.1001,-91.917,1.04,93,100,2.57,CA,-21600
137,ossora,59.2353,163.0719,-4.07,81,56,2.86,RU,43200
138,chunskiy,56.0815,99.6342,-1.54,98,100,1.22,RU,28800
139,port elizabeth,-33.918,25.5701,21.72,85,0,9.26,ZA,7200
140,tiznit,29.5833,-9.5,21.78,42,0,1.85,MA,3600
141,upernavik,72.7868,-56.1549,-7.56,91,100,2.08,GL,-10800
142,husavik,66.0449,-17.3389,2.75,87,59,3.78,IS,0
143,lompoc,34.6391,-120.4579,20.01,98,100,4.12,US,-28800
144,xuddur,4.1213,43.8894,25.74,61,87,3.93,SO,10800
145,castro,-24.7911,-50.0119,17.82,54,29,3.64,BR,-10800
146,arlit,18.7369,7.3853,27.1,11,2,3.26,NE,3600
147,berea,41.3662,-81.8543,22.49,49,20,4.63,US,-18000
148,bethel,41.3712,-73.414,23.64,77,100,3.6,US,-18000
149,alice town,25.7167,-79.3,26.77,72,1,8.53,BS,-18000
150,michalovce,48.7543,21.9195,10.0,90,15,2.49,SK,3600
151,nikolskoye,59.7035,30.7861,2.11,97,100,3.14,RU,10800
152,luderitz,-26.6481,15.1594,17.0,87,69,1.26,NA,7200
153,nagapattinam,10.7667,79.8333,25.03,87,100,3.5,IN,19800
154,portland,45.5234,-122.6762,6.02,92,100,6.17,US,-28800
155,mollendo,-17.0231,-72.0147,19.7,68,36,4.53,PE,-18000
156,pokhara,28.2333,83.9833,16.17,56,22,2.49,NP,20700
157,gat,31.61,34.7642,22.38,100,1,2.92,IL,7200
158,pouebo,-20.4,164.5667,24.12,86,3,4.25,NC,39600
159,rajgarh,28.6333,75.3833,26.46,20,100,3.07,IN,19800
160,ponta do sol,32.6667,-17.1,22.62,88,75,1.61,PT,0
161,okhotsk,59.3833,143.3,-11.81,62,23,2.86,RU,36000
162,kuvshinovo,57.0295,34.1725,0.12,97,100,4.04,RU,10800
163,abonnema,4.7084,6.7931,26.64,81,97,3.61,NG,3600
164,buta,2.7858,24.73,21.52,98,100,0.98,CD,7200
165,nabire,-3.3667,135.4833,23.87,92,95,1.47,ID,32400
166,hovd,48.0056,91.6419,-0.58,66,100,1.83,MN,25200
167,chengde,40.9725,117.9361,4.45,62,22,1.88,CN,28800
168,gamba,-2.65,10.0,23.51,93,100,0.9,GA,3600
169,las vegas,36.175,-115.1372,17.91,29,0,3.6,US,-28800
170,avera,33.194,-82.5271,26.32,68,100,2.25,US,-18000
171,sorland,67.667,12.6934,6.92,74,100,10.07,NO,3600
172,damaturu,11.747,11.9608,26.72,20,85,2.72,NG,3600
173,kunyang,27.6658,120.5658,14.48,82,100,1.25,CN,28800
174,lata,40.1629,-8.3327,15.6,91,100,0.44,PT,0
175,atasu,48.6814,71.6433,-1.26,70,70,0.92,KZ,21600
176,mehamn,71.0357,27.8492,2.97,70,75,4.12,NO,3600
177,plettenberg bay,-34.0527,23.3716,18.68,89,45,4.93,ZA,7200
178,kostivere,59.427,25.0962,8.99,64,75,5.14,EE,7200
179,vaini,-21.2,-175.2,22.09,83,20,1.54,TO,46800
180,buenos aires,-34.6132,-58.3772,25.55,52,0,7.72,AR,-10800
181,kangasala,61.4638,24.076,8.15,100,93,4.2,FI,7200
182,adrar,20.5022,-10.0711,26.99,13,62,2.86,MR,0
183,shimoda,34.6667,138.95,12.84,70,91,4.28,JP,32400
184,torbay,47.6666,-52.7314,9.31,84,100,4.12,CA,-12600
185,sidi ali,36.0998,0.4206,18.73,60,1,1.84,DZ,3600
186,plaster rock,46.9065,-67.39,21.29,78,100,5.64,CA,-14400
187,shurugwi,-19.6702,30.0059,20.96,63,86,2.03,ZW,7200
188,namibe,-15.1961,12.1522,21.56,65,1,7.05,AO,3600
189,ternate,0.8,127.4,27.21,79,100,1.19,ID,32400
190,kamaishi,39.2667,141.8833,8.73,74,5,2.68,JP,32400
191,baryatino,54.3121,34.521,0.76,80,100,4.36,RU,10800
192,diamantino,-14.4086,-56.4461,34.32,25,0,2.23,BR,-14400
193,mayor pablo lagerenza,-19.9309,-60.7718,35.41,15,1,2.44,PY,-10800
194,nanortalik,60.1432,-45.2371,0.12,89,100,2.65,GL,-10800
195,caconda,-13.7333,15.0667,20.6,58,26,3.23,AO,3600
196,naze,28.3667,129.4833,18.51,69,100,2.92,JP,32400
197,vredendal,-31.6683,18.5012,18.89,76,99,3.11,ZA,7200
198,faanui,-16.4833,-151.75,25.89,82,100,9.2,PF,-36000
199,buraydah,26.326,43.975,24.25,33,10,4.7,SA,10800
200,avarua,-21.2078,-159.775,24.03,69,3,2.06,CK,-36000
201,kyaikto,17.3,97.0167,23.61,76,1,1.83,MM,23400
202,bandar-e lengeh,26.5579,54.8807,29.06,48,0,5.14,IR,12600
203,dikson,73.5069,80.5464,-12.94,92,100,4.46,RU,25200
204,kavieng,-2.5744,150.7967,28.01,73,100,2.54,PG,36000
205,lebu,-37.6167,-73.65,14.3,69,16,6.26,CL,-10800
206,cidreira,-30.1811,-50.2056,19.53,67,10,5.8,BR,-10800
